"site","habitat","sex","depth_m","length_cm","mass_g","reproductive_output","algae_cover","fish_density"
"Patch Reef","Coral Reef","Male",11.7,28.1,18192,NA,11.7,7.9
"Patch Reef","Seagrass","Female",5.2,22.3,10337,22.6,45.2,12
"Patch Reef","Coral Reef","Male",9.1,26.8,15012,32.3,34.9,6.5
"Patch Reef","Coral Reef","Female",9.8,22.4,10545,28.4,10.9,9.7
"Patch Reef","Coral Reef","Male",7.9,27.6,17866,32.3,28.6,6.7
"Patch Reef","Seagrass","Male",5.5,23.5,10536,25.8,51.2,18.8
"Patch Reef","Rubble","Male",7.3,26.5,14942,21.7,81.2,7.3
"Patch Reef","Coral Reef","Male",7.1,26.1,14904,24.1,18.3,9.1
"Patch Reef","Seagrass","Male",9.8,24.2,12359,16.2,37.8,6
"Fringing Reef","Coral Reef","Female",6.9,23.5,10195,28.2,29.9,12.9
"Fringing Reef","Seagrass","Female",6.3,18.6,6360,16.3,56.9,1
"Fringing Reef","Rubble","Male",4.1,14.9,3504,13.2,52,6.3
"Fringing Reef","Coral Reef","Male",6.4,28.7,20135,26.4,10.7,14.1
"Fringing Reef","Coral Reef","Female",9.9,30.7,24339,37,5.7,12
"Fringing Reef","Coral Reef","Male",5.3,32.6,29281,31.1,37.2,7.7
"Fringing Reef","Seagrass","Male",8,22.3,10248,23.6,62.6,5.5
"Fringing Reef","Seagrass","Female",11.4,27.6,17804,32,62.9,9.8
"Fringing Reef","Coral Reef","Male",4.1,32.2,27423,28.1,9.6,19.2
"Fringing Reef","Coral Reef","Female",4.3,26.5,14767,30.3,6.5,11.7
"Fringing Reef","Coral Reef","Female",7.2,36.8,43822,36.3,21.8,4.7
"Fringing Reef","Rubble","Male",9.4,NA,3150,15.7,51.4,2.8
"Fringing Reef","Rubble","Female",4.9,25.2,15505,23.6,61,16
"Fringing Reef","Rubble","Female",2,22.3,9957,20.1,56.4,9
"Fringing Reef","Coral Reef","Male",2,22.3,9032,11.9,13.2,5.7
"Fringing Reef","Coral Reef","Female",NA,31.3,25592,39.1,17,9.2
"Fringing Reef","Coral Reef","Male",6.7,23.7,10853,15.1,0,16.3
"Fringing Reef","Coral Reef","Female",11,34.6,35818,34.8,33.4,3.9
"Fringing Reef","Coral Reef","Male",12.1,25.1,12339,28,20.1,18.2
"Fringing Reef","Seagrass","Female",9.3,25.2,12746,NA,45.9,8.2
"Fringing Reef","Seagrass","Female",4.8,22.3,11741,25.1,61.3,1
"Fringing Reef","Coral Reef","Male",7.7,25.8,15029,30.3,20.1,13.2
"Fringing Reef","Seagrass","Male",7.1,31.1,24808,21,32.8,8.1
"Fringing Reef","Seagrass","Female",7.7,33.9,34525,32.7,43,10.2
"Fringing Reef","Coral Reef","Male",7,33.1,30297,26.9,24.6,5.2
"Fringing Reef","Coral Reef","Male",7,32.9,30563,28.2,30.9,10.2
"Fringing Reef","Coral Reef","Male",6.4,31.5,28142,31.7,25.3,11.5
"Fringing Reef","Coral Reef","Male",2,25.8,13765,20.6,15.6,14.7
"Fringing Reef","Coral Reef","Male",5.4,30.8,24983,31.1,19.3,10.6
"Fringing Reef","Seagrass","Female",4.4,23.9,11893,17.1,44.6,7.5
"Fringing Reef","Rubble","Male",10.3,NA,9367,12.1,48.1,11.5
"Fringing Reef","Coral Reef","Male",2,26.3,15045,20.7,21.2,15.7
"Fringing Reef","Rubble","Female",5.4,28.4,19139,32.9,68.1,7.2
"Fringing Reef","Coral Reef","Female",6.5,29.3,22545,29.5,23.9,11.8
"Fringing Reef","Coral Reef","Male",6.2,25,13770,16.7,28,6.4
"Fringing Reef","Seagrass","Female",4.7,33.3,31624,38.7,34.6,13.4
"Fringing Reef","Rubble","Male",2,26.6,15227,22.1,51.5,12.3
"Fringing Reef","Seagrass","Female",10.7,24.5,12600,NA,34.3,6.4
"Fringing Reef","Coral Reef","Female",2.7,26.4,16086,32.4,25.7,3.4
"Fringing Reef","Coral Reef","Male",NA,31,26808,28.4,26.3,10
"Fringing Reef","Seagrass","Female",5.1,NA,4473,17.9,37.8,13
"Fringing Reef","Coral Reef","Male",3.7,26.7,14992,21.2,9.4,8.3
"Fringing Reef","Seagrass","Male",6,24.5,12109,23.6,53,7.7
"Fringing Reef","Rubble","Male",2.3,24.4,11623,25.2,64.9,4.3
"Fringing Reef","Coral Reef","Male",3.6,31.7,27344,28,13.4,8.2
"Fringing Reef","Coral Reef","Female",10.5,27.6,17265,22.4,7.7,11.9
"Fringing Reef","Rubble","Female",10.5,23.6,10607,24.5,61.3,11.1
"Fringing Reef","Rubble","Male",2,21.2,6384,11.8,62.4,9.1
"Fringing Reef","Coral Reef","Female",3.7,29.8,22528,25.5,12.6,6.1
"Fringing Reef","Coral Reef","Female",8.9,32.1,28096,20.5,34,9.9
"Fringing Reef","Seagrass","Female",6.6,24.4,12952,32.3,57.4,10.9
"Fringing Reef","Seagrass","Male",3,22.5,8858,19.8,57.4,13.5
"Fringing Reef","Coral Reef","Male",6.1,25.5,14048,17.2,15.1,12
"Fringing Reef","Coral Reef","Male",8.4,27.7,18373,27,15.2,14.1
"Fringing Reef","Rubble","Female",2.2,16.7,3474,23.1,84.1,1
"Fringing Reef","Seagrass","Male",3.5,27.2,17887,27.1,50.5,19.1
"Fringing Reef","Seagrass","Male",2,16.4,3266,19.5,44.9,1
"Fringing Reef","Coral Reef","Female",10.2,24.6,13580,27.4,24.1,12.5
"Fringing Reef","Seagrass","Male",6.4,27.1,18555,19.8,55.1,16.1
"Fringing Reef","Seagrass","Male",3.7,23.5,11236,21.3,51.6,6.8
