"site","habitat","sex","depth_m","length_cm","mass_g","gonadosomatic_index","algae_cover","fish_density"
"South Reef","Coral Reef","Female",20.4,29.5,2320.5,2.87,26.3,25
"Patch Reef","Coral Reef","Male",8.9,26.3,1632,2.67,23.3,6.6
"Patch Reef","Seagrass","Female",9.6,20,578.8,2.08,35.2,19.4
"Patch Reef","Seagrass","Male",9.1,12,246,1.21,49.9,11.4
"Patch Reef","Coral Reef","Male",7.7,21.1,665.7,2.46,3.6,11.5
"Patch Reef","Coral Reef","Male",8.5,34.2,3496.9,4.76,30.3,10.5
"Patch Reef","Rubble","Male",6.6,26.5,1851.5,2.65,45,4.9
"Patch Reef","Coral Reef","Male",6.4,25.3,1486.5,3.79,19.9,9.3
"Patch Reef","Coral Reef","Male",7.5,21,888.6,2.53,19.5,17
"Patch Reef","Coral Reef","Male",9.4,33.9,3499.7,3.21,18,10.3
"Patch Reef","Seagrass","Male",12.5,23.5,978.1,3.14,37.9,8.7
"Patch Reef","Seagrass","Male",6.4,29.3,2295.8,2.82,61.6,15.3
"Patch Reef","Rubble","Male",2,21.3,728.1,2.26,51.1,11.4
"Patch Reef","Seagrass","Male",4.8,31.7,2772.1,3.34,47.6,14.3
"Patch Reef","Rubble","Female",6.5,25.5,1317.9,2.45,56.5,8.3
"Patch Reef","Rubble","Female",12.3,27.4,1689.3,2.29,59.2,9
"Patch Reef","Seagrass","Male",11.8,26.1,1544.2,2.53,47.7,12.2
"Patch Reef","Seagrass","Male",6.6,23.5,1155.2,2.31,36.8,15.5
"Patch Reef","Seagrass","Male",9.5,26.7,1684.5,3.21,51.7,19.5
"Patch Reef","Seagrass","Female",11.3,30.2,2341,2.41,47.5,10.2
"Patch Reef","Coral Reef","Female",12.7,32,2855.4,2.44,6.2,6.5
"Patch Reef","Seagrass","Female",4.8,23.7,1119.5,2.38,44.2,7.3
"Patch Reef","Coral Reef","Male",15.5,21,762.3,3.18,19.5,7.7
"Patch Reef","Seagrass","Female",7.3,25.6,1555.1,2.08,31,10.9
"Patch Reef","Rubble","Female",7.4,25.4,1486.9,3,78.4,2.2
"Patch Reef","Coral Reef","Male",4.6,26.2,1511.8,2.11,31.3,18.5
"Patch Reef","Coral Reef","Female",8.7,28.9,2006.4,2.14,21.4,7
"Patch Reef","Coral Reef","Female",9.5,31.4,2513.5,2.57,5.3,9.4
"Patch Reef","Coral Reef","Female",2,25.9,1429.7,2.19,22.7,18.8
"Patch Reef","Coral Reef","Female",4.9,32,2877.7,2.97,17.4,8.3
"Patch Reef","Seagrass","Male",7.6,27.3,1699.9,3.25,34.6,6.7
"Patch Reef","Seagrass","Male",9.1,29.4,2257.8,3.48,55.5,10.1
"Patch Reef","Coral Reef","Female",2,26.6,1648.4,2.8,25.5,10.4
"Patch Reef","Coral Reef","Male",12.9,30.9,2558.7,4.69,12.3,15.9
"Patch Reef","Coral Reef","Female",10.4,29.8,2236.4,3.27,27.2,16.9
"Patch Reef","Seagrass","Male",11.7,27.3,1778.4,2.76,28.7,11.9
"Patch Reef","Coral Reef","Male",8.1,29.9,2234.5,2.91,24.9,1.7
"Patch Reef","Coral Reef","Male",3,37,4318.3,3.28,8.1,13.3
"Patch Reef","Rubble","Male",14.2,25.1,1351,3.69,64.7,8.8
"Patch Reef","Seagrass","Female",7.6,28.5,2035.9,2.69,35.3,15.4
"Patch Reef","Coral Reef","Female",5.2,24,1191.1,2.05,17.3,10.4
"Patch Reef","Seagrass","Female",5.9,18.4,523.2,1.94,54.8,10.8
"Patch Reef","Coral Reef","Female",10.3,33.5,3201.9,3.3,6.9,8.4
"Patch Reef","Coral Reef","Male",7.1,28.6,2031.1,3.18,4.3,18.1
"Patch Reef","Coral Reef","Female",9.9,25,1186.5,2.09,9.8,17.6
"Patch Reef","Seagrass","Female",10.8,23,956.1,2.67,56,1.9
"Patch Reef","Coral Reef","Female",9.8,33.2,3148.4,2.25,20,6.2
"Patch Reef","Coral Reef","Female",12.3,31.1,2591.6,2.68,5.3,15.1
"Patch Reef","Coral Reef","Male",4.7,NA,NA,NA,10.7,16.6
"Patch Reef","Coral Reef","Female",11.3,32.5,2875.4,2.58,21.3,9.8
"Patch Reef","Seagrass","Female",3.6,25.2,1370.9,1.87,54.6,9
"Patch Reef","Seagrass","Female",9.3,28.5,1830.6,2.43,42.5,4.4
"Patch Reef","Coral Reef","Male",11.7,28.1,1957.2,3.08,11.7,7.9
"Patch Reef","Seagrass","Female",5.2,22.3,803.2,1.99,45.2,12
"Patch Reef","Coral Reef","Male",9.1,26.8,1588.9,3.06,34.9,6.5
"Patch Reef","Coral Reef","Female",9.8,22.4,997,1.87,10.9,9.7
"Patch Reef","Coral Reef","Male",7.9,27.6,1715,2.86,28.6,6.7
"Patch Reef","Seagrass","Male",5.5,23.5,1154.7,3.02,51.2,18.8
"Patch Reef","Rubble","Male",7.3,26.5,1623,2.81,81.2,7.3
"Patch Reef","Coral Reef","Male",7.1,26.1,1505.1,2.94,18.3,9.1
"Patch Reef","Seagrass","Male",9.8,24.2,1184,3.04,37.8,6
"Fringing Reef","Coral Reef","Female",6.9,23.5,1160.1,1.85,29.9,12.9
"Fringing Reef","Seagrass","Female",6.3,18.6,498.2,2.19,56.9,1
"Fringing Reef","Rubble","Male",4.1,14.9,368.7,1.52,52,6.3
"Fringing Reef","Coral Reef","Male",6.4,28.7,1909.6,3.78,10.7,14.1
"Fringing Reef","Coral Reef","Female",9.9,30.7,2434.1,2,5.7,12
"Fringing Reef","Coral Reef","Male",5.3,32.6,2856.4,2.62,37.2,7.7
"Fringing Reef","Seagrass","Male",8,22.3,1006.2,2.26,62.6,5.5
"Fringing Reef","Seagrass","Female",11.4,27.6,1734.5,2.93,62.9,9.8
"Fringing Reef","Coral Reef","Male",4.1,32.2,2914.5,2.67,9.6,19.2
"Fringing Reef","Coral Reef","Female",4.3,26.5,1536.5,1.55,6.5,11.7
"Fringing Reef","Coral Reef","Female",7.2,36.8,4216.4,2.9,21.8,4.7
"Fringing Reef","Rubble","Male",9.4,NA,NA,NA,51.4,2.8
"Fringing Reef","Rubble","Female",4.9,25.2,1274.6,1.42,61,16
"Fringing Reef","Rubble","Female",2,22.3,897.7,2.38,56.4,9
"Fringing Reef","Coral Reef","Male",2,22.3,1030.2,2.13,13.2,5.7
"Fringing Reef","Coral Reef","Female",NA,31.3,2612.5,2.21,17,9.2
"Fringing Reef","Coral Reef","Male",6.7,23.7,1195,2.47,0,16.3
"Fringing Reef","Coral Reef","Female",11,34.6,3472.6,3.12,33.4,3.9
"Fringing Reef","Coral Reef","Male",12.1,25.1,1386.3,3.65,20.1,18.2
"Fringing Reef","Seagrass","Female",9.3,25.2,1381.3,1.56,45.9,8.2
"Fringing Reef","Seagrass","Female",4.8,22.3,927.3,1.22,61.3,1
"Fringing Reef","Coral Reef","Male",7.7,25.8,1452.5,3.26,20.1,13.2
"Fringing Reef","Seagrass","Male",7.1,31.1,2445.6,4.51,32.8,8.1
"Fringing Reef","Seagrass","Female",7.7,33.9,3248.7,2.85,43,10.2
"Fringing Reef","Coral Reef","Male",7,33.1,2930.3,3.12,24.6,5.2
"Fringing Reef","Coral Reef","Male",7,32.9,3015.8,3.98,30.9,10.2
"Fringing Reef","Coral Reef","Male",6.4,31.5,2685.3,3.18,25.3,11.5
"Fringing Reef","Coral Reef","Male",2,25.8,1521.2,2.97,15.6,14.7
"Fringing Reef","Coral Reef","Male",5.4,30.8,2487.2,3.28,19.3,10.6
"Fringing Reef","Seagrass","Female",4.4,23.9,1247.2,2.3,44.6,7.5
"Fringing Reef","Rubble","Male",10.3,NA,NA,NA,48.1,11.5
"Fringing Reef","Coral Reef","Male",2,26.3,1604,1.94,21.2,15.7
"Fringing Reef","Rubble","Female",5.4,28.4,2015.4,2.01,68.1,7.2
"Fringing Reef","Coral Reef","Female",6.5,29.3,2007.6,3.04,23.9,11.8
"Fringing Reef","Coral Reef","Male",6.2,25,1231.2,3.18,28,6.4
"Fringing Reef","Seagrass","Female",4.7,33.3,3162.1,2.88,34.6,13.4
"Fringing Reef","Rubble","Male",2,26.6,1685.6,2.83,51.5,12.3
"Fringing Reef","Seagrass","Female",10.7,24.5,1209.2,2.65,34.3,6.4
"Fringing Reef","Coral Reef","Female",2.7,26.4,1630.3,1.99,25.7,3.4
"Fringing Reef","Coral Reef","Male",NA,31,2677.1,3.47,26.3,10
"Fringing Reef","Seagrass","Female",5.1,NA,NA,NA,37.8,13
"Fringing Reef","Coral Reef","Male",3.7,26.7,1625.1,3.14,9.4,8.3
"Fringing Reef","Seagrass","Male",6,24.5,1194.7,3.05,53,7.7
"Fringing Reef","Rubble","Male",2.3,24.4,1158.6,2.22,64.9,4.3
"Fringing Reef","Coral Reef","Male",3.6,31.7,2782.6,2.77,13.4,8.2
"Fringing Reef","Coral Reef","Female",10.5,27.6,1774.6,2.55,7.7,11.9
"Fringing Reef","Rubble","Female",10.5,23.6,1200.1,1.74,61.3,11.1
"Fringing Reef","Rubble","Male",2,21.2,778.1,3.28,62.4,9.1
"Fringing Reef","Coral Reef","Female",3.7,29.8,2314.1,3.22,12.6,6.1
"Fringing Reef","Coral Reef","Female",8.9,32.1,2901.4,2.66,34,9.9
"Fringing Reef","Seagrass","Female",6.6,24.4,1097.9,1.76,57.4,10.9
"Fringing Reef","Seagrass","Male",3,22.5,929.9,2.83,57.4,13.5
"Fringing Reef","Coral Reef","Male",6.1,25.5,1385,3.47,15.1,12
"Fringing Reef","Coral Reef","Male",8.4,27.7,1999.2,3.4,15.2,14.1
"Fringing Reef","Rubble","Female",2.2,16.7,316.9,1.73,84.1,1
"Fringing Reef","Seagrass","Male",3.5,27.2,1638.3,2.88,50.5,19.1
"Fringing Reef","Seagrass","Male",2,16.4,478.3,2.14,44.9,1
"Fringing Reef","Coral Reef","Female",10.2,24.6,1218.9,1.83,24.1,12.5
"Fringing Reef","Seagrass","Male",6.4,27.1,1592.1,3.53,55.1,16.1
"Fringing Reef","Seagrass","Male",3.7,23.5,1145,2.93,51.6,6.8
